epoch,cost,accuracy_validation
1,2.095095569,0.593966
2,0.991001006,0.741954
3,0.68061779,0.799138
4,0.52677473,0.835488
5,0.426313924,0.857328
6,0.357387348,0.879454
7,0.302711505,0.886925
8,0.259626465,0.893966
9,0.236673763,0.904598
10,0.205044824,0.912069
11,0.181126903,0.924138
12,0.160001318,0.920977
13,0.14785847,0.924425
14,0.132559603,0.926868
15,0.126085096,0.928305
16,0.114229434,0.929741
17,0.102138709,0.93046
18,0.100771331,0.937644
19,0.092321904,0.938075
20,0.088315514,0.946839
21,0.079521275,0.938506
22,0.074913942,0.937213
23,0.073811411,0.94727
24,0.06694051,0.945977
25,0.06012883,0.952155
26,0.058386673,0.944684
27,0.060694263,0.95
28,0.057789074,0.949282
29,0.054727616,0.94842
30,0.050471739,0.950287
31,0.050709598,0.953161
32,0.051429499,0.952586
33,0.047587901,0.954598
34,0.043838779,0.950906
35,0.03641878,0.955891
36,0.047861051,0.956034
37,0.036067344,0.959052
38,0.037637944,0.947701
39,0.03984563,0.956466
40,0.036521552,0.956466
41,0.038354841,0.956034
42,0.036953931,0.958333
43,0.039270694,0.957184
44,0.03257181,0.955316
45,0.035033203,0.96092
46,0.033302306,0.954741
47,0.034426778,0.953736
48,0.036767437,0.96092
49,0.025957191,0.961063
50,0.026129303,0.958908
51,0.030672896,0.961351
52,0.031807248,0.96092
53,0.030736512,0.96408
54,0.023563065,0.96408
55,0.030260646,0.95546
56,0.031012773,0.962356
57,0.024214417,0.959052
58,0.034681941,0.961782
59,0.022728223,0.961351
60,0.028690131,0.965805
61,0.01885986,0.960057
62,0.028488621,0.961925
63,0.02125162,0.961063
64,0.028709039,0.960488
65,0.024791075,0.96408
66,0.024233675,0.962931
67,0.023347877,0.962644
68,0.024940492,0.962787
69,0.022089744,0.959052
70,0.021762706,0.967241
71,0.0226034,0.962931
72,0.021614191,0.966236
73,0.021762706,0.967241
74,0.016117195,0.962931
75,0.0226034,0.962931
76,0.021614191,0.966236
77,0.021762706,0.967241
78,0.016117195,0.962931
79,0.021762706,0.967241
80,0.016117195,0.962931
81,0.0226034,0.962931
82,0.021614191,0.966236
83,0.021161678,0.962931
84,0.019153242,0.963362
85,0.020910723,0.96408
86,0.017308482,0.967672
87,0.017308482,0.963649
88,0.017048073,0.970546
89,0.02086905,0.965948
90,0.017043701,0.967098
91,0.023513924,0.957759
92,0.016936304,0.966379
93,0.0282138,0.964799
94,0.019059,0.965661
95,0.01671252,0.961638
96,0.016637865,0.971695
97,0.018179961,0.968247
98,0.02565836,0.962644
99,0.018171712,0.96523
100,0.017047987,0.968534
